mass,expected,expected_16,expected_84,expected_2_5,expected_97_5
0.7,0.458485,0.12768904799999997,0.18092793600000007,0.20954520399999996,0.3932045400000001
0.8,0.30772761,0.08789902499999999,0.12511951500000001,0.14424498,0.2763864449999999
0.9,0.18899022999999998,0.05398519999999998,0.07683784500000002,0.08858989999999997,0.16973581999999998
1,0.119599944,0.034600248,0.04862748600000001,0.056062643999999995,0.107418216
1.1,0.0866507136,0.02454494680000001,0.034885074399999993,0.0402785284,0.07702889039999998
1.2,0.0680668125,0.019281123000000004,0.027131623199999996,0.0316402666,0.05988038820000001
1.3,0.0494505,0.014544877599999999,0.020696764,0.0235662768,0.04608021440000001
1.4,0.038973375,0.011651077199999995,0.016933003500000002,0.018877748399999995,0.0377202882
1.5,0.0288435,0.009224854800000001,0.013566575399999996,0.0147597114,0.0303767079
1.6,0.0245265,0.00814360176,0.012416011679999998,0.013029706079999998,0.02785387728
1.7,0.018393899999999998,0.0062291426399999975,0.009531460820000004,0.0098436408,0.021675436299999996
1.8,0.01539735,0.00525241544,0.00797868362,0.008300153510000002,0.0181443265
