mass,expected,expected_16,expected_84,expected_2_5,expected_97_5
0.7,0.519449848,0.14466274800000006,0.2049876679999999,0.23740548400000006,0.44883925599999996
0.8,0.38044011,0.10866987,0.1531657649999999,0.178328445,0.3406310549999999
0.9,0.21525898,0.06227678499999997,0.08923436000000001,0.100902355,0.19726547000000005
1,0.138327444,0.039841223999999995,0.05734428600000002,0.065381448,0.126766788
1.1,0.09976449999999999,0.028862178399999994,0.04095980680000001,0.046764660799999996,0.0898802036
1.2,0.0792515,0.022449137799999998,0.031906142600000006,0.0368396763,0.06994328350000001
1.3,0.059422,0.017477556800000002,0.024870304800000007,0.0283184088,0.05461907440000001
1.4,0.046662,0.013949604900000002,0.020087566800000005,0.0226018002,0.04445022120000001
1.5,0.0344715,0.010940691300000003,0.016076382,0.017505049800000002,0.03621744630000001
1.6,0.0306138,0.010015227840000002,0.015253473600000001,0.01602442128,0.03425407632000001
1.7,0.022508325,0.0076224967,0.011573764579999996,0.012045487439999999,0.026204659879999998
1.8,0.0182425125,0.006268060349999998,0.009598440210000003,0.009905092939999999,0.02179532828
