mass,expected,expected_16,expected_84,expected_2_5,expected_97_5
0.7,0.373124848,0.10391026000000003,0.14724587199999994,0.170525204,0.32240665199999996
0.8,0.24150937499999997,0.06783452999999998,0.09723115500000001,0.11132075999999996,0.21314318999999998
0.9,0.15542227,0.04365516000000001,0.06257333000000001,0.07164013500000001,0.13716957499999996
1,0.096617556,0.027139211999999982,0.038895996000000016,0.044534675999999995,0.08526801
1.1,0.07070978639999999,0.020030243199999992,0.028748631999999996,0.03286921439999999,0.0626035608
1.2,0.05496475000000001,0.015769003300000008,0.02234738909999999,0.025550172300000003,0.04936601500000001
1.3,0.0387665872,0.0114021864,0.016534293600000007,0.018474544,0.0365805088
1.4,0.0311521875,0.009430814400000001,0.0135349494,0.015089430300000001,0.0301504392
1.5,0.0224240625,0.007117028099999999,0.010636638599999998,0.011387273100000001,0.023809535399999998
1.6,0.0175527,0.005857519200000001,0.008955588479999999,0.009256289280000001,0.020395079039999996
1.7,0.012464287499999999,0.0042518951999999995,0.006756886219999999,0.0067190012399999995,0.015440614140000001
1.8,0.01023700625,0.0036377020399999994,0.00567193744,0.00567831953,0.012984786089999999
