mass,expected,expected_16,expected_84,expected_2_5,expected_97_5
0.7,0.330452576,0.092032572,0.12776708799999997,0.151030812,0.27936759199999994
0.8,0.205801305,0.05780436,0.08203632,0.09486280500000001,0.18104996999999995
0.9,0.11747852,0.033276085,0.04776475999999999,0.05460864500000001,0.10551398000000001
1,0.0732075,0.020910785999999994,0.030056616000000008,0.03431558999999999,0.06595485
1.1,0.05605324999999999,0.016011687999999996,0.02301371600000001,0.026275295199999996,0.05049934999999999
1.2,0.0469756875,0.013194607799999994,0.018724828600000007,0.0216530437,0.04072351110000001
1.3,0.0286935,0.008508904799999998,0.012466572800000002,0.013786229599999998,0.027770749600000002
1.4,0.0205471875,0.006192047400000001,0.009254983500000001,0.0100327542,0.020871276299999998
1.5,0.012706898400000001,0.004146147600000002,0.006432663299999997,0.006551976900000001,0.0147356517
1.6,0.0096924,0.0032584430400000005,0.005215645920000001,0.00514907568,0.012156822720000002
1.7,0.0068977125,0.0022847805399999997,0.0036567718599999997,0.0036104966800000002,0.008582077419999999
1.8,0.00566243125,0.0019129310599999994,0.003069606770000001,0.0029860594099999998,0.007279733189999999
